"Date","Brand.Names","Product.Description","Product.Types","Recall.Reason.Description","Company.Name","Category","Food.Sub"
NA,"Merkts","Port Wine Cheese Spread","Food & Beverages, Food & Beverage Safety, Cheese/Cheese Product","Presence of small pieces of plastic","BEL BRANDS USA, INC","Food & Beverages","Cheese/Cheese Product"
NA,"Spicely Organics","Organic Tarragon","Food & Beverages, Food & Beverage Safety, Spices, Flavors &  Salts","Salmonella","Organic Spices, Inc. dba Spicely Organics","Food & Beverages","Flavors &  Salts"
NA,"O'Soy","Strawberry Soy Yogurt","Food & Beverages, Allergens, Food & Beverage Safety, Yogurt/Yogurt Product","Undeclared Milk","Stonyfield","Food & Beverages","Yogurt/Yogurt Product"
0010-06-20,"Rhino 7, Papa Zen, Fifty Shades, and Grand X","Dietary Supplement","Food & Beverages, Food & Beverage Safety","Unapproved new drug","Gadget Island, Inc. dba Gear Isle","Food & Beverages",""
NA,"Wegmans","Honey Roast Nut Crunch","Food & Beverages, Allergens, Food & Beverage Safety, Cereal/Breakfast Food","Undeclared almonds","First Source","Food & Beverages","Cereal/Breakfast Food"
0010-06-20,"Whole Foods Market 365","Organic Raisin Bran","Food & Beverages, Allergens, Food & Beverage Safety, Cereal/Breakfast Food","Undeclared Peanuts","Whole Food Markets","Food & Beverages","Cereal/Breakfast Food"
NA,"Newport","Tuna Loins","Food & Beverages, Food & Beverage Safety","Salmonella","Relish Foods Inc.","Food & Beverages",""
NA,"Mann's","Vegetable Products","Food & Beverages, Food & Beverage Safety, Produce","Listeria monocytogenes","Mann Packing","Food & Beverages","Produce"
0010-09-20,"Great American Deli","Chicken Salad Wheatberry Sandwich","Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food","Undeclared Eggs and Soy","Great American Deli","Food & Beverages","Prepared Food"
NA,"weis","Bacon, Lettuce and Tomato (BLT) sandwiches","Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food","Undeclared Egg","Weis Markets","Food & Beverages","Prepared Food"
NA,"Giant Eagle","Breaded Shrimp","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared egg","Giant Eagle","Food & Beverages",""
0010-12-20,"La Terra Fina","Spinach Artichoke & Parmesan Dip & Spread","Food & Beverages, Allergens, Food & Beverage Safety, Dressing/Condiment","Undeclared Egg","La Terra Fina","Food & Beverages","Dressing/Condiment"
0010-10-20,"Cascadian Farm","Organic Cinnamon Raisin Granola","Food & Beverages, Allergens, Food & Beverage Safety, Cereal/Breakfast Food","Undeclared Almonds","General Mills","Food & Beverages","Cereal/Breakfast Food"
NA,"Taste of Inspirations","Classic Red Skin Potato Salad","Food & Beverages, Allergens, Food & Beverage Safety, Egg/Egg Product","Undeclared egg","A.S.K. Foods, Inc.","Food & Beverages","Egg/Egg Product"
NA,"Whole Foods Market","Apple Cinnamon Hand Pies","Food & Beverages, Allergens, Food & Beverage Safety, Bakery Product/Mix","Undeclared Egg","Whole Foods Market","Food & Beverages","Bakery Product/Mix"
NA,"Kenny’s","Buckeye Pie","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared wheat","Kenny’s Great Pies, Inc.","Food & Beverages",""
NA,"Albertsons, Safeway Vons, and Pak’N Save","Fresh vegetable trays and cups","Food & Beverages, Food & Beverage Safety","Listeria monocytogenes","Albertsons, Safeway Vons, and Pak’N Save","Food & Beverages",""
NA,"Thanlwin","Fried Bean Snack","Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item","Undeclared Peanuts","Myanmar Wholesale","Food & Beverages","Snack Food Item"
NA,"Tres Latin Foods","Pupusas","Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food","Undeclared Milk Allergen","Tres Latin Foods","Food & Beverages","Prepared Food"
NA,"Toma Celena","Cheese","Food & Beverages, Food & Beverage Safety, Cheese/Cheese Product","Listeria","Cooperstown Cheese Company","Food & Beverages","Cheese/Cheese Product"
NA,"Just Cut","Broccoli Florets","Food & Beverages, Food & Beverage Safety","Listeria Monocytogenes, Mann2017","Paragon Wholesale Foods Corp.","Food & Beverages",""
NA,"BrightFarms","Salad and Basil products","Food & Beverages, Food & Beverage Safety","E. coli","BrightFarms","Food & Beverages",""
0002-07-20,"Mann Packing","Organic Veggies with Organic Ranch Dip","Food & Beverages, Allergens, Food & Beverage Safety, Organic Food / Home Grown","Undeclared Milk, Soy, Eggs, Mustard","Mann Packing","Food & Beverages","Organic Food / Home Grown"
0002-08-20,"Whole Foods Market","Croissants","Food & Beverages, Allergens, Food & Beverage Safety, Bakery Product/Mix","Undeclared egg","Bakers of Paris","Food & Beverages","Bakery Product/Mix"
0002-06-20,"Hy-Vee","Candy Trays","Food & Beverages, Food & Beverage Safety, Snack Food Item","Salmonella","Name Hy-Vee, Inc.","Food & Beverages","Snack Food Item"
0002-07-20,"Chip’n Dipped","Dark chocolate crunch bar","Food & Beverages, Allergens, Food & Beverage Safety, Chocolate/Cocoa Product","Undeclared milk","Chip’n Dipped","Food & Beverages","Chocolate/Cocoa Product"
0002-09-20,"Everroast","Chicken Caesar Wrap","Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food","Undeclared anchovy","Harris Teeter, LLC","Food & Beverages","Prepared Food"
0002-09-20,"Dutch Valley Food Distributors, Inc.","Cappuccino Snack Mix","Food & Beverages, Food & Beverage Safety","Potential to be contaminated with salmonella","Dutch Valley Food Distributors, Inc.","Food & Beverages",""
0002-09-20,"Palmer, Publix, Trails End and others","Chocolate coated candy","Food & Beverages, Food & Beverage Safety","Potential to be contaminated with salmonella","Palmer Candy  Company","Food & Beverages",""
0002-07-20,"Hostess Brands, LLC","Holiday White Peppermint Hostess® Twinkies","Food & Beverages, Food & Beverage Safety, Snack Food Item","Salmonella","Hostess Brands, LLC","Food & Beverages","Snack Food Item"
0002-09-20,"King's Pastry, Bakewell desserts","Various cakes: tuxedo bar, chocolate bar, cappuccino","Food & Beverages, Allergens, Food & Beverage Safety, Bakery Product/Mix","Undeclared tree nuts (hazelnut)","King's Pastry","Food & Beverages","Bakery Product/Mix"
0002-08-20,"Trader Joe’s","Bread","Food & Beverages, Allergens, Food & Beverage Safety, Bakery Product/Mix","Undeclared milk","Athens Baking Company","Food & Beverages","Bakery Product/Mix"
0002-09-20,"ageLOC TR90","Protein boost","Food & Beverages, Allergens","Undeclared milk","NSE Products, Inc.","Food & Beverages",""
0002-08-20,"Basha's and Food City","Cheeses","Food & Beverages, Food & Beverage Safety, Cheese/Cheese Product","Listeria","Lakeview Cheese and Bashas’ Family of Stores","Food & Beverages","Cheese/Cheese Product"
0002-07-20,"Peony Mark","Dried Lily Flower","Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item","Undeclared Sulfites","Starway Incorporated","Food & Beverages","Snack Food Item"
0002-08-20,"Trader Joe's","Apple Sauce","Food & Beverages, Food & Beverage Safety, Snack Food Item","potential presence of glass pieces","Manzana Products Co., Inc.","Food & Beverages","Snack Food Item"
0002-08-20,"Chapis","Bread Crumbs","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Wheat, Milk, Eggs, Tree Nuts, and, Soybean","Chapis Spice & Tea","Food & Beverages",""
0002-08-20,"Carriage House Creations","Sauces","Food & Beverages, Allergens, Food & Beverage Safety, Gravy/Sauces","Undeclared soy and peanuts","Carriage House Creations","Food & Beverages","Gravy/Sauces"
0003-01-20,"Sargento","Cheese","Food & Beverages, Food & Beverage Safety, Cheese/Cheese Product","Listeria","Sargento Foods, Inc.","Food & Beverages","Cheese/Cheese Product"
0002-07-20,"Meijer","Colby Cheese and Colby Jack Cheese","Food & Beverages, Food & Beverage Safety","Potential to be contaminated with Listeria monocytogenes","Meijer","Food & Beverages",""
0002-08-20,"Guggisberg","Cheese","Food & Beverages, Food & Beverage Safety, Cheese/Cheese Product","Listeria monocytogenes","Guggisberg Cheese Inc.","Food & Beverages","Cheese/Cheese Product"
0002-08-20,"Private Selection","Salted Caramel Chocolate Almond Pie","Food & Beverages, Allergens, Food & Beverage Safety","Undecalred almonds and egg","Legendary Baking","Food & Beverages",""
0002-08-20,"Sunmba","Frozen Ajiaco (vegetables mix)","Food & Beverages, Food & Beverage Safety, Prepared Food","Listeria monocytogenes","Barberi International Inc.","Food & Beverages","Prepared Food"
0002-09-20,"Fromi USA","Soureliette Cheese, Tomme Brebis Fedou Cheese","Food & Beverages, Food & Beverage Safety","Potential to be contaminated with Listeria monocytogenes","Fromi USA","Food & Beverages",""
0002-08-20,"Lonestar Bakeries, Whole Foods Market","Cake","Food & Beverages, Allergens, Food & Beverage Safety, Bakery Product/Mix","Undeclared Pecans","Whole Foods Market","Food & Beverages","Bakery Product/Mix"
NA,"Kusher","Cookies","Food & Beverages, Allergens, Food & Beverage Safety, Bakery Product/Mix","Undeclared Egg and Milk in Cookies","Kusher","Food & Beverages","Bakery Product/Mix"
0002-08-20,"Guggisberg","Cheese and cheese-containing gift boxes","Food & Beverages, Food & Beverage Safety, Cheese/Cheese Product","Potential Listeria Monocytogenes","Dutch Valley Foods","Food & Beverages","Cheese/Cheese Product"
0002-09-20,"Vulto Creamery","Cheeses","Food & Beverages, Food & Beverage Safety, Cheese/Cheese Product","Listeria Monocytogenes","Vulto Creamery","Food & Beverages","Cheese/Cheese Product"
0003-01-20,"Yoke's Fresh Market","Cheese","Food & Beverages","potential contamination of Listeria monocytogenes","Yoke's Fresh Market","Food & Beverages",""
0002-08-20,"WEGMANS","Milk Chocolate Big Ear Bunny Sucker","Food & Beverages, Allergens, Food & Beverage Safety, Chocolate/Cocoa Product","Undeclared Peanuts","Landies Candies Co Inc.","Food & Beverages","Chocolate/Cocoa Product"
0002-09-20,"Dolcetta","Chocolate Candy","Food & Beverages, Allergens, Food & Beverage Safety, Chocolate/Cocoa Product","Undeclared Milk and Soy","Dolcetta Artisan Sweets","Food & Beverages","Chocolate/Cocoa Product"
0002-09-20,"Dixie Diners Club","Carb Not Beanit Butter","Food & Beverages, Food & Beverage Safety, Butter/Butter Product","may be contaminated with Escherichia coli O157:H7 bacteria","The SoyNut Butter Co.","Food & Beverages","Butter/Butter Product"
0002-07-20,"N/A","Decorated (iced) cookies","Food & Beverages, Allergens, Food & Beverage Safety, Bakery Product/Mix","Undeclared Egg Allergen","Whole Foods Market","Food & Beverages","Bakery Product/Mix"
0002-07-20,"The Smokehouse of NY","Smoked Fish","Food & Beverages, Fish","Listeria","The Smokehouse of NY","Food & Beverages","Fish"
0002-08-20,"Marketside","Organic Spring Mix","Food & Beverages, Food & Beverage Safety","Extraneous animal matter was allegedly found","Fresh Express","Food & Beverages",""
0002-08-20,"H.E.B","Pomegranate Infused Cranberries Covered in Dark Chocolate","Food & Beverages, Chocolate/Cocoa Product","Undeclared Almonds","Nassau Candy Distributors","Food & Beverages","Chocolate/Cocoa Product"
0002-09-20,"Season's Choice","Sweet Peas","Food & Beverages, Food & Beverage Safety, Produce","Listeria","Lakeside Foods, Inc.","Food & Beverages","Produce"
0002-08-20,"Mikawaya","Chocolate Chocolate Mochi Ice Cream","Food & Beverages, Allergens, Food & Beverage Safety, Ice Cream/Frozen Dairy","Allergen: Peanuts","Mikawaya","Food & Beverages","Ice Cream/Frozen Dairy"
0002-06-20,"Lays and Miss Vickie’s","Jalapeno Flavored Kettle Cooked Potato Chips","Food & Beverages, Food & Beverage Safety, Snack Food Item","Salmonella","Frito-Lay","Food & Beverages","Snack Food Item"
0002-06-20,"Roundy’s Brand and Harris Teeter Brand","Frozen hash browns","Food & Beverages, Food & Beverage Safety, Prepared Food","Potential Foreign Material","McCain Foods USA, Inc.","Food & Beverages","Prepared Food"
0002-08-20,"Herbalife","Protein Bar","Food & Beverages, Meal Replacements","Undeclared Fish Allergen","Herbalife International of America","Food & Beverages","Meal Replacements"
0002-09-20,"Trident","Frozen Multi-grain Alaskan Cod","Food & Beverages, Food & Beverage Safety, Fish","Contains small pieces of plastic.","Trident Seafoods Corporation","Food & Beverages","Fish"
0002-08-20,"Red Robin","Crispy Onion Rings","Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food","Undeclared: Milk","Lamb Weston","Food & Beverages","Prepared Food"
0002-08-20,"Peak; Harris Teeter Farmer's Market","Spinach","Food & Beverages, Produce","Listeria","The Horton Fruit Co., Inc.","Food & Beverages","Produce"
0002-07-20,"GoMacro","MacroBars and Thrive Bars","Food & Beverages, Food & Beverage Safety","Listeria monocytogenes","GoMacro","Food & Beverages",""
0002-09-20,"Evoke, Millville and more","Granola and muesli products","Food & Beverages, Food & Beverage Safety","Potential to be contaminated with Listeria monocytogenes","NEW ENGLAND NATURAL BAKERS","Food & Beverages",""
0002-09-20,"L.A. Lucky Brand","Sweet Basil Seeds","Food & Beverages, Food & Beverage Safety, Seeds","Salmonella","L.A. Lucky Import & Export","Food & Beverages","Seeds"
0002-06-20,"Golden Temple®, Swad®, and Maya®","Flour","Food & Beverages, Bakery Product/Mix","E.coli","Smucker Foods of Canada Corp.","Food & Beverages","Bakery Product/Mix"
NA,"Several Brands","Cheeses, breads, and desserts","Food & Beverages, Allergens","Undeclared Wheat, Soy, Egg, Milk and Undeclared Artificial Coloring","Productos Pacheco Inc.","Food & Beverages",""
NA,"Sun Noodle","Tonkotsu Ramen","Food & Beverages, Allergens","Undeclared Fish","Sun Noodle","Food & Beverages",""
NA,"Multiple brands","Frozen green beans and mixed vegetables","Food & Beverages, Foodborne Illness","Potential to be contaminated with Listeria monocytogenes","National Frozen Foods Corporation","Food & Beverages",""
0002-01-20,"Daisho","Kimchi Hot Pot Soup Base","Food & Beverages, Allergens","Undeclared Crustacean Shellfish (Shrimp, Crab)","JFC International Inc.","Food & Beverages",""
NA,"Whole Foods","Vegan Chicken Bites","Food & Beverages, Allergens","Undeclared Pecan","Sunneen Health Foods","Food & Beverages",""
NA,"Market of Choice","Kale Salad","Food & Beverages, Allergens","Undeclared egg","Market of Choice","Food & Beverages",""
0002-05-20,"Southern Grove","Unsalted Almonds","Food & Beverages, Allergens","Undeclared Wheat and Soy","Kanan Enterprises, Inc.","Food & Beverages",""
NA,"Emerald","Glazed Walnuts","Food & Beverages, Allergens","Undeclared Peanuts, Almonds, Cashews and Pecans","Snyder's-Lance, Inc.","Food & Beverages",""
0002-08-20,"Meijer","Greek and Low Fat Yogurts","Food & Beverages, Yogurt/Yogurt Product","Potential risk of a small glass particles","Meijer","Food & Beverages","Yogurt/Yogurt Product"
NA,"Seggiano","Kale Pesto","Food & Beverages, Allergens","Undeclared tree nuts (cashews)","Seggiano USA, Inc.","Food & Beverages",""
0002-06-20,"Weis","Dried beef party rye dip","Food & Beverages, Allergens","Undeclared Milk and Egg","Weis Markets","Food & Beverages",""
NA,"Kancho","Snack Biscuit","Food & Beverages, Allergens","Undeclared peanut","LOTTE Int’l America Corp","Food & Beverages",""
NA,"Panera","Cream Cheese","Food & Beverages, Foodborne Illness, Cheese/Cheese Product","Potential to be contaminated with Listeria monocytogenes","Panera","Food & Beverages","Cheese/Cheese Product"
0002-09-20,"Weis","Store-made Penne Pasta with Asiago Sauce and Grilled Chicken single serving meal","Food & Beverages, Allergens","Undeclared milk","Weis Markets","Food & Beverages",""
NA,"Progressive Laboratories, Xenesta","Dietary supplements","Food & Beverages, Allergens","Undeclared milk","Progressive Laboratories, Inc.","Food & Beverages",""
NA,"Heinen's","Potato gnocchi","Food & Beverages, Allergens","Undeclared milk","La Pasta, Inc.","Food & Beverages",""
0004-10-20,"Starwest Botanicals","Organic cardamom whole green pods","Food & Beverages, Foodborne Illness","Potential to be contaminated with salmonella","Starwest Botanicals","Food & Beverages",""
0004-09-20,"Midwest Northern Nut","Nut and Seed Snack Mixes","Food & Beverages, Allergens","Undeclared peanuts and various tree nuts","Midwest Northern Nut","Food & Beverages",""
0004-09-20,"Kraken Kratom, Soul Speciosa, and Phytoextractum","Kratom Powder","Food & Beverages, Foodborne Illness","Potential to be contaminated with salmonella","PDX Aromatics DBA Kraken Kratom, Phytoextractum, and Soul Speciosa","Food & Beverages",""
0003-06-20,"Weis","Dried beef party rye dip","Food & Beverages, Allergens","Undeclared Milk and Egg","Weis Markets","Food & Beverages",""
0004-09-20,"Natural Grocers","Coconut Smiles Organic","Food & Beverages, Foodborne Illness","Potential to be contaminated with Salmonella","Vitamin Cottage Natural Food Markets, Inc.","Food & Beverages",""
0004-08-20,"Weis","Cole Slaw","Food & Beverages, Allergens","Undeclared Egg","Weis Markets","Food & Beverages",""
0004-09-20,"The Maiden’s Creamery","Raw Goat Milk Cheese","Food & Beverages, Foodborne Illness","Potential to be contaminated with Listeria monocytogenes","Good Fields Farm / The Maidens Creamery","Food & Beverages",""
NA,"SKI","Cherry SKI citrus soda","Food & Beverages","Undeclared Red #40 and Yellow #5","The Double Cola Company","Food & Beverages",""
0004-10-20,"Wegmans","Thai Sweet Chili Sauce Cup","Food & Beverages, Allergens","Undeclared egg","Wegmans Food Markets, Inc.","Food & Beverages",""
0004-09-20,"Haggen","Deli products","Food & Beverages, Foodborne Illness","Potential to be contaminated with salmonella","Haggen","Food & Beverages",""
NA,"Trader Joe’s","Chocolate Chip Cookie","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared peanut","Chris’s Cookies","Food & Beverages",""
0004-09-20,"Southgate","Hot Dog Chili Sauce","Food & Beverages, Allergens","Undeclared Wheat and Eggs","Vietti Foods","Food & Beverages",""
0004-09-20,"Schwartz Brothers Bakery","Cream Cheese Cinnamon Rolls","Food & Beverages, Allergens","Undeclared egg","Schwartz  Brothers Bakery of Seattle","Food & Beverages",""
0004-09-20,"River Valley Sprouts","Alfalfa Sprouts","Food & Beverages, Foodborne Illness","Potential to be contaminated with Salmonella","River Valley Sprouts","Food & Beverages",""
0004-09-20,"Oregon Food Bank","Chia Seeds","Food & Beverages","May be contaminated with rodent droppings","Oregon Food Bank","Food & Beverages",""
NA,"Kodiak Cakes","Blueberry Chia Energy Waffles","Food & Beverages, Allergens","Undeclared milk","Kodiak Cakes","Food & Beverages",""
0004-10-20,"IDLife","Protein bars, Snack bars, Kids bars","Food & Beverages, Allergens","Undeclared Allergens (peanuts, almonds, almonds coconut oil)","IDLife, LLC","Food & Beverages",""
0004-10-20,"Ciolo Foods","Nut Free Basil Pesto","Food & Beverages, Allergens","Undeclared tree nuts (Pine Nuts and Walnuts)","Ciolo Foods","Food & Beverages",""
NA,"Maurice’s Southern Gold","Maurice’s Southern Gold BBQ Sauce Honey","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Wheat And Soy","Piggie Park Enterprises Inc.","Food & Beverages",""
NA,"Carolina Gold","Honey Sauce","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Wheat And Soy","Piggie Park Enterprises Inc.","Food & Beverages",""
0004-07-20,"Kraken Kratom, Phytoextractum, & Soul Speciosa","White vein powder & capsule red vein powder products","Food & Beverages, Foodborne Illness","Potential to be contaminated with salmonella","PDX Aromatics","Food & Beverages",""
0004-07-20,"King Arthur","Organic Coconut Flour","Food & Beverages, Foodborne Illness","Potential to be contaminated with salmonella","King Arthur Flour Company","Food & Beverages",""
0004-09-20,"Organic Go Smile!","Raw Coconut","Food & Beverages, Foodborne Illness, Fruit/Fruit Product","Potential of Salmonella","International Harvest, Inc","Food & Beverages","Fruit/Fruit Product"
0004-09-20,"Oregon Food Bank","Pumpkin Seeds","Food & Beverages, Foodborne Illness, Seeds","Potential to be contaminated with Listeria species","Oregon Food Bank","Food & Beverages","Seeds"
0004-07-20,"Kitchen's Cravings","Egg Salad Sandwich","Food & Beverages, Allergens","Undeclared Fish or Shellfish","Kwik Trip, Inc.","Food & Beverages",""
0004-07-20,"Buenas","Grated coconut","Food & Beverages, Foodborne Illness, Organic Food / Home Grown","Salmonella","Global Commodities Corporation","Food & Beverages","Organic Food / Home Grown"
0004-06-20,"Various: Pain Out, Nirvanio, Cali","various kratom dietary supplements","Food & Beverages, Foodborne Illness","Salmonella","NutriZone, LLC","Food & Beverages",""
0004-09-20,"Izzy's Ice Cream","Maple Nut Ice Cream","Food & Beverages, Allergens","Undeclared peanut","Izzy's Ice Cream, LLC","Food & Beverages",""
